                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.7121,                0.83465,                 1.4429,                 1.7957,                 1.0311,                 1.4146,                0.88022,                0.80798,                0.90089,                0.49412,                 1.6056,                0.73321,                 1.4685,                 1.6069,                0.82307,                 1.4539,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.7027,                0.81427,                 1.4257,                 1.7918,                 1.0075,                 1.3995,                0.87038,                0.82631,                0.90465,                0.49889,                 1.5777,                0.72955,                 1.4469,                 1.5979,                0.83664,                 1.4411,              0.0015446,              0.0015446,              0.0015446
                     26,                   1.68,                  0.804,                 1.4252,                 1.7704,                0.97698,                 1.4028,                0.87994,                0.82257,                0.90266,                0.48614,                  1.616,                0.74542,                 1.4643,                 1.6312,                0.83628,                  1.453,              0.0015248,              0.0015248,              0.0015248
                     27,                  1.681,                0.79166,                 1.4141,                 1.7754,                0.95646,                 1.3939,                0.86963,                0.84031,                0.91148,                0.51044,                 1.5525,                0.71467,                 1.4347,                 1.5754,                0.80987,                 1.4315,               0.001505,               0.001505,               0.001505
                     28,                 1.7183,                0.81753,                 1.4381,                 1.8131,                0.98864,                 1.4131,                0.88099,                0.82468,                0.90694,                0.50816,                 1.5703,                  0.735,                 1.4479,                 1.5933,                  0.792,                 1.4464,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.6921,                 0.8049,                  1.425,                 1.7795,                0.96467,                 1.4034,                0.87355,                0.85073,                  0.919,                0.51822,                 1.5494,                0.71901,                 1.4323,                 1.5659,                 0.7713,                 1.4225,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.6716,                0.79247,                 1.4027,                  1.769,                0.95862,                 1.3804,                0.88421,                0.83773,                0.91614,                0.51347,                 1.5384,                0.69879,                 1.4271,                 1.5599,                0.75119,                 1.4215,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.6822,                0.78994,                  1.416,                 1.7743,                0.95094,                 1.3916,                0.88967,                0.84552,                0.92241,                0.51311,                 1.5545,                0.70397,                 1.4325,                 1.5762,                0.73261,                 1.4302,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.6695,                0.78644,                 1.4104,                 1.7649,                0.93692,                 1.3893,                0.89281,                0.84369,                0.92029,                0.51531,                 1.5488,                0.71145,                 1.4281,                 1.5706,                0.74819,                 1.4294,               0.001406,               0.001406,               0.001406
                     33,                 1.6684,                0.77893,                 1.3981,                 1.7575,                0.93626,                 1.3734,                0.87788,                0.84515,                 0.9186,                0.50628,                 1.5595,                0.71234,                 1.4387,                 1.5879,                0.77601,                 1.4398,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.6414,                0.77043,                 1.3926,                 1.7426,                0.91983,                 1.3774,                0.88732,                0.85413,                0.92054,                0.51724,                 1.5382,                0.67785,                 1.4231,                 1.5551,                0.72381,                 1.4181,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.6417,                0.76325,                 1.3907,                 1.7366,                0.89848,                 1.3737,                0.90275,                0.85413,                0.92557,                0.51505,                 1.5477,                0.69532,                 1.4332,                 1.5751,                0.72499,                  1.428,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6486,                0.76275,                 1.4013,                 1.7429,                0.89757,                 1.3847,                 0.8896,                0.85079,                0.92495,                0.51793,                 1.5241,                0.67327,                 1.4148,                 1.5507,                0.71363,                 1.4145,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6537,                0.75595,                 1.3736,                  1.751,                0.88926,                 1.3495,                0.89347,                0.85496,                0.92792,                0.51998,                 1.5302,                0.67714,                 1.4175,                 1.5647,                0.68553,                 1.4202,               0.001307,               0.001307,               0.001307
                     38,                 1.6323,                0.76263,                 1.4066,                  1.727,                0.88845,                  1.391,                 0.9054,                0.84795,                0.92666,                 0.5252,                 1.5195,                0.68146,                 1.4152,                 1.5431,                0.69271,                 1.4131,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6384,                0.75336,                 1.3869,                 1.7332,                0.88106,                 1.3669,                0.91143,                0.85194,                0.92833,                0.52498,                 1.5314,                0.68045,                 1.4231,                 1.5748,                0.68238,                 1.4314,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.632,                0.74661,                 1.3866,                 1.7265,                0.85939,                 1.3715,                0.90752,                0.85749,                0.93098,                0.52643,                 1.5298,                0.65657,                 1.4203,                 1.5634,                0.66076,                 1.4202,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6427,                0.75562,                 1.3977,                 1.7402,                0.87138,                 1.3818,                0.90665,                0.85804,                0.92837,                0.52091,                 1.5288,                0.67178,                 1.4166,                 1.5715,                0.67539,                 1.4232,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6224,                0.74626,                 1.3897,                 1.7254,                0.86436,                 1.3752,                0.90033,                 0.8551,                0.92968,                0.52603,                 1.5167,                0.66754,                 1.4119,                 1.5482,                0.68741,                 1.4133,               0.001208,               0.001208,               0.001208
                     43,                 1.6235,                0.74188,                 1.3797,                 1.7237,                0.85735,                 1.3598,                0.90008,                 0.8733,                0.93641,                0.53032,                 1.5236,                0.66124,                 1.4116,                 1.5563,                0.66658,                 1.4174,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6279,                0.73945,                 1.3899,                 1.7151,                0.84532,                 1.3757,                0.90603,                0.87052,                0.93336,                0.52556,                 1.5408,                0.65196,                 1.4244,                 1.5582,                0.64524,                 1.4181,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.6403,                 0.7422,                 1.3832,                 1.7426,                 0.8554,                 1.3636,                0.90364,                0.86952,                0.93483,                0.53034,                 1.5195,                0.64905,                 1.4131,                 1.5467,                0.66359,                 1.4135,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5979,                0.72506,                 1.3614,                 1.6983,                0.83414,                 1.3452,                 0.9013,                0.86966,                0.93421,                 0.5233,                 1.5262,                0.64959,                 1.4134,                 1.5594,                0.66233,                 1.4171,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.6029,                0.72937,                 1.3693,                  1.703,                0.83846,                 1.3526,                0.90157,                0.87144,                0.93782,                 0.5338,                 1.5108,                0.65155,                 1.4031,                 1.5382,                0.65635,                  1.404,               0.001109,               0.001109,               0.001109
                     48,                 1.6129,                0.72996,                 1.3674,                 1.7136,                0.83922,                 1.3513,                0.90773,                0.87646,                0.93985,                0.53638,                  1.509,                0.64756,                 1.4045,                 1.5393,                0.64198,                 1.4053,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.6206,                0.72655,                 1.3746,                 1.7188,                0.82591,                 1.3571,                0.90437,                0.87282,                0.93719,                0.53447,                 1.5141,                0.65521,                 1.4078,                 1.5412,                0.65489,                 1.4085,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6124,                0.73063,                 1.3675,                 1.7083,                0.83073,                 1.3499,                0.89326,                0.87743,                0.93659,                 0.5256,                 1.5355,                0.67262,                 1.4185,                 1.5597,                 0.6924,                 1.4229,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6159,                0.73133,                 1.3799,                  1.714,                0.83184,                 1.3643,                  0.917,                0.87816,                0.93957,                0.53373,                 1.5138,                0.64492,                 1.4068,                 1.5421,                0.64237,                 1.4043,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6011,                0.72053,                 1.3703,                 1.6984,                 0.8213,                  1.355,                0.91545,                0.87509,                0.94114,                0.53124,                 1.5196,                0.64127,                 1.4092,                 1.5495,                0.63098,                 1.4129,                0.00101,                0.00101,                0.00101
                     53,                 1.5809,                0.70968,                 1.3403,                 1.6838,                0.80903,                 1.3227,                0.91255,                0.88447,                0.94228,                0.53161,                 1.5283,                0.64305,                 1.4154,                 1.5599,                0.63521,                 1.4148,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.6041,                0.72195,                 1.3675,                 1.7046,                0.81584,                 1.3512,                0.90116,                 0.8818,                0.93954,                0.53409,                 1.5057,                 0.6462,                 1.3991,                 1.5377,                  0.653,                 1.4041,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.6022,                0.71493,                 1.3766,                 1.6967,                0.80795,                 1.3629,                0.91192,                0.87937,                0.93949,                0.54092,                 1.5049,                0.63387,                 1.4013,                 1.5276,                0.63538,                 1.3993,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5901,                 0.7105,                 1.3605,                  1.691,                0.79933,                 1.3456,                0.89597,                0.88665,                0.93823,                 0.5334,                 1.5222,                0.64794,                 1.4095,                 1.5491,                0.65802,                  1.414,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5772,                0.69871,                 1.3377,                 1.6813,                 0.7844,                 1.3214,                0.91872,                 0.8767,                0.94075,                0.53476,                 1.5101,                0.62994,                 1.4038,                 1.5443,                0.63063,                 1.4065,               0.000911,               0.000911,               0.000911
                     58,                 1.5982,                0.71014,                 1.3519,                 1.6996,                0.79313,                 1.3342,                 0.9155,                0.87309,                0.93831,                0.53874,                 1.5053,                 0.6291,                 1.4028,                 1.5359,                0.62376,                 1.4081,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.5845,                0.71123,                 1.3545,                 1.6838,                0.80047,                 1.3397,                0.91253,                0.88471,                0.94382,                0.53589,                  1.507,                0.63207,                 1.4008,                 1.5438,                0.61051,                 1.4065,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.5816,                0.70609,                 1.3682,                 1.6801,                 0.7908,                 1.3489,                0.90813,                0.88228,                 0.9416,                0.53933,                 1.5048,                0.63457,                 1.4024,                 1.5308,                0.62907,                 1.4037,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.581,                0.70091,                 1.3392,                 1.6817,                0.78692,                 1.3232,                0.91775,                0.88204,                0.94139,                0.53856,                 1.4991,                0.62777,                 1.3962,                 1.5289,                0.61483,                 1.3982,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.5778,                0.70077,                 1.3513,                 1.6829,                0.78296,                 1.3348,                0.90818,                 0.8931,                0.94208,                0.54094,                 1.5004,                0.62485,                 1.3976,                 1.5322,                0.62826,                 1.4008,               0.000812,               0.000812,               0.000812
                     63,                 1.5856,                0.70267,                 1.3605,                 1.6896,                0.78523,                 1.3448,                0.91148,                0.88228,                0.94353,                0.53961,                 1.5097,                0.62614,                 1.4028,                 1.5333,                0.62398,                 1.4045,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.5896,                0.69952,                 1.3455,                 1.6917,                0.77928,                 1.3289,                0.90399,                 0.8932,                0.94612,                0.54323,                 1.5009,                0.63032,                 1.3974,                 1.5356,                 0.6025,                 1.4026,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5649,                0.69717,                 1.3517,                  1.668,                0.78159,                  1.337,                 0.9093,                0.88573,                0.94326,                0.53772,                 1.5146,                0.63366,                 1.4025,                 1.5413,                0.62599,                 1.4025,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.5814,                0.69766,                 1.3479,                 1.6814,                0.77313,                 1.3326,                 0.9078,                0.89005,                0.94413,                0.54257,                 1.5021,                0.62898,                 1.3986,                 1.5279,                0.61391,                 1.3994,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5643,                0.69353,                 1.3361,                 1.6661,                0.77135,                 1.3192,                0.91868,                0.88641,                0.94567,                0.54175,                 1.4991,                 0.6133,                 1.3957,                 1.5326,                0.59017,                 1.3974,               0.000713,               0.000713,               0.000713
                     68,                 1.5648,                0.69304,                 1.3562,                 1.6636,                0.76796,                 1.3445,                0.90964,                0.88301,                0.94333,                0.53718,                 1.5105,                 0.6357,                 1.4045,                 1.5335,                0.63003,                 1.4045,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5721,                 0.6905,                 1.3621,                 1.6681,                0.75898,                 1.3495,                0.91697,                 0.8846,                0.94546,                0.54334,                 1.4883,                0.61163,                 1.3939,                 1.5193,                0.58951,                 1.3947,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.5601,                0.69002,                 1.3542,                 1.6586,                0.75863,                 1.3434,                0.90086,                0.89326,                0.94595,                0.54585,                  1.492,                0.62013,                 1.3938,                 1.5168,                0.60146,                 1.3934,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5727,                0.69039,                 1.3435,                 1.6805,                0.76817,                 1.3277,                0.90681,                0.89903,                0.94625,                0.54161,                 1.5003,                0.62218,                 1.3949,                 1.5316,                0.60919,                 1.3999,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.5596,                0.68117,                  1.332,                 1.6602,                0.74511,                 1.3167,                0.91516,                0.88932,                0.94441,                0.54328,                 1.4994,                0.62342,                 1.3986,                 1.5237,                0.60741,                 1.3997,               0.000614,               0.000614,               0.000614
                     73,                 1.5606,                0.68776,                 1.3311,                 1.6637,                0.75576,                 1.3171,                0.90173,                0.90645,                0.94657,                  0.541,                 1.5054,                0.61793,                 1.4013,                 1.5312,                0.60551,                  1.402,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.5705,                0.68718,                 1.3323,                 1.6748,                0.76318,                 1.3144,                0.91043,                0.89311,                0.94702,                0.54065,                 1.5179,                0.62697,                 1.4058,                 1.5432,                0.62204,                  1.408,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.5629,                0.68508,                 1.3388,                 1.6607,                 0.7585,                 1.3222,                0.91033,                 0.8966,                0.94928,                0.54958,                 1.4887,                0.62031,                 1.3916,                 1.5254,                 0.5931,                 1.3975,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5568,                0.68318,                 1.3517,                 1.6507,                  0.748,                 1.3417,                0.90924,                0.89393,                0.94714,                0.54258,                 1.5022,                 0.6227,                 1.3988,                 1.5328,                0.60925,                 1.4033,              0.0005348,              0.0005348,              0.0005348
